request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Full payment of IDR 15,656,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Full payment of ZAR 6,670.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_28,689.4,affordable_with_plan,installments,2024-06-07:217.07|2024-07-07:217.07|2024-08-06:217.07|2024-09-05:217.07|2024-10-05:217.07|2024-11-04:217.07,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Full payment of ZAR 51,524.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_30,775.2,affordable_now,full_payment,2026-04-06:775.2,2026-04-06,none,Full payment of USD 775.20 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_31,13840360.0,affordable_with_plan,installments,2024-09-03:9082000|2024-10-03:9082000,2024-09-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_32,33305.8,affordable_with_plan,installments,2025-02-05:10004.5|2025-03-07:10004.5|2025-04-06:10004.5|2025-05-06:10004.5,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_33,65180.0,affordable_with_plan,installments,2026-01-07:19666.67|2026-02-06:19666.67|2026-03-08:19666.67|2026-04-07:19666.67|2026-05-07:19666.67|2026-06-06:19666.67,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Full payment of INR 129,400.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_35,125130.0,affordable_with_plan,installments,2025-10-30:35333.33|2025-11-29:35333.33|2025-12-29:35333.33|2026-01-28:35333.33|2026-02-27:35333.33|2026-03-29:35333.33,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_36,1446.6,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover USD 3,954.00 without breaching minimum safety balance."
request_37,12068800.0,affordable_with_plan,installments,2024-03-05:3662250|2024-04-04:3662250|2024-05-04:3662250|2024-06-03:3662250,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_38,379.4,not_affordable,not_recommended,none,N/A,none,Insufficient projected net cash flow over 90-day horizon to safely cover EUR 971.30 without breaching minimum safety balance.
request_39,203105.0,affordable_with_plan,installments,2026-04-04:104300|2026-05-04:104300,2026-04-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_40,894.0,affordable_with_plan,installments,2024-06-06:258.06|2024-07-06:258.06|2024-08-05:258.06|2024-09-04:258.06|2024-10-04:258.06,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_41,24809250.0,affordable_with_plan,installments,2025-11-03:19380000|2025-12-03:19380000,2025-11-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Full payment of INR 52,100.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
